id,id_video,fecha,id_usuario,lugar,Hora
1,7000,2025-04-25,7,escritorio,15:15
2,7000,2025-04-25,5,escritorio,11:30
3,1000,2025-04-25,5,escritorio,14:30
4,4000,2025-04-25,1,comedor,10:30
5,5000,2025-04-28,5,escritorio,11:15
6,3000,2025-04-28,5,escritorio,11:00
7,1000,2025-04-28,1,escritorio,10:15
8,4000,2025-04-28,4,comedor,08:45
9,2000,2025-04-28,2,escritorio,14:00
10,3000,2025-05-10,3,escritorio,09:15
11,5000,2025-05-10,5,escritorio,13:30
12,7000,2025-05-10,7,escritorio,10:30
13,2000,2025-05-10,2,escritorio,09:00
14,1000,2025-05-11,1,escritorio,16:00
15,5000,2025-05-14,5,escritorio,15:45
16,3000,2025-05-14,3,escritorio,11:15
17,2000,2025-05-14,2,escritorio,09:45
18,4000,2025-05-14,4,comedor,14:15
